City,Name,,Description,Media link,Tags,Hub
Cracow,Cracow,We are about to start regular meetings in February/March (contact Mateusz Bagiński at AI Safety slack or wherever),,,,0
 Aarhus,Aarhus,Aarhus University has an AI safety interested Cognitive Science study and Apart Research has an office here. Write to zaki@apartresearch.com to hear more about what's happening in the city.,mailto:zaki@apartresearch.com,https://youtu.be/Nx5gIbTsHJM,ENAIS,0
Oxford,AI Safety Hub,"AI Safety Hub aims to support individuals who want to contribute to the safe development of AI, and does so primarily through supporting local AI safety groups across the globe. More information can be found on their website: aisafetyhub.org",,,,1
Groningen,AI Safety Initiative Groningen,"We have a lot of AI research and education going on in Groningen. Our mission is to empower and connect university students, academics, everyone - to shape a safe and responsible future of AI. We are running the AGISF course, hackathons, talks, and additional events. More information can be found on our website: https://www.aisig.org/.",aisig.org,mailto:info@aisig.org,ENAIS,1
 Amsterdam,Amsterdam,"The University of Amsterdam produces excellent AI research, including interpretability work, particularly in the ILLC and AMLab. However AIS is not widespread in the uni. One reinforcement learning researcher (Herke van Hoof) supervised two students in their safety-related master's thesis projects who then became full-time AIS researchers at the PhD student level, so there's at least some basic amount of openness toward safety work. In general, there is some amount of interest on AI Safety among university students and PhD students, and some university students read through the fundamentals program together. There is not AIS group yet. ",,,ENAIS,1
Budapest,BAIST (Budapest AI Safety Team),,https://www.budapestaisafety.org/,,ENAIS,1
Belgrade,Belgrade,"Several enthusiasts hold monthly meetings on AI Safety as part of EA Serbia. We plan to start AIS Fundamentals course in person, and are reaching out to universities around. We have some industry connections, may be able to get office space affordably for those who want to come and work remotely from Belgrade.",mailto:dusan.d.nesic@efektivnialtruizam.rs,,ENAIS,0
 Berlin,Berlin,"Irregular ""social"" discussion meetups for people to talk about AI alignment. Previously some hobbyist research, not anymore. Some research on interpretability at TUB, previously some research on safe reinforcement learning.",mailto:pranomestro@gmail.com,,ENAIS,1
 Brussels,Brussels,"Not a hub for technical AI safety research, but a hub for policy work. ",,,ENAIS,1
Cambridge,Cambridge,,https://www.cambridgeaisafety.org/,,,1
Copenhagen,Copenhagen,Apart Research and the Alignment Jams' headquarters are in Copenhagen. A weekly AI safety meetup happens at Bastard Café on Thursdays from 8PM. The AI Safety Reading Group and aisafety.com is also headquartered here with Søren Elverlin.,https://www.facebook.com/groups/266673130348543,,ENAIS,1
 Darmstadt,Darmstadt,,,,ENAIS,0
 Delft,Delft,"We are running AGISF and regularly organising hackathons. We are planning to scale up in the next months to become a bigger student organisation, attract more people and run cool projects. There is also one professor doing AI Safety (not with a focus on AGI tho) research here. (Website/social media will be set up soon. Until then you can contact us at: jan@eadelft.org)",,,ENAIS,1
 Trondheim,EA NTNU,"Trondheim has a thriving university EA group with members interested in AIS reading the AGISF corriculum. However, AIS has not yet penetrated the ML community at universities.",,,ENAIS,0
Bergen,EA UiB,"The university EA group in Bergen has organized reading groups on Human Compatible, and will likely continue with similar activities this year such as reading through the AGISF. Bergen has a couple of people interested in starting a separate group exclusively focusing on AIS.",,,ENAIS,0
 Oslo,EA UiO,The university EA group at UiO is planning to organizing an AGISF reading group this spring.,,,ENAIS,0
Eindhoven,Eindhoven AI Safety Team,"We're setting up an AI Safety Team in collaboration with Serpentine AI. There are several independant AIS researchers in Eindhoven, as well as some interested faculty. You can contact info@eaeindhoven.nl or join the group chat!",https://www.eaeindhoven.nl/ai-safety-team,,ENAIS,1
 Geneva,Geneva,,,,ENAIS,0
Tel Aviv,Israel,"ALTER Israel is working with several researchers, primarily focused on Vanessa Kosoy's Learning Theoretic Alignment, and supporting and connecting researchers in Israel with the broader safety community. We ran an AI Safety Israel conference in 2022, and are considering next steps and other opportunities. There is also a planned weekly AI-Safety coworking session at the EA Israel office. (Other locations in Israel are included as well.)",,,,1
 Karlsruhe,Karlsruhe,"I (Walter Laurito) am working on a project at SERI MATS right now, which I might continue in my city Karlsruhe afterwards. I'm also pursuing a PhD there and try to integrate AI Safety topics there, since I have some freedom in choosing what do work on. Apart from me, there are 5-6 people from the local EA community interested in AI Safety. Karlsruhe is famous for its university and great education in computer science in Germany. Furthermore, Karlsruhe has many different research labs... I think having talks, presentations and meetups about AI safety could be very valuable there... Once, I'm back from Berkeley, I will think about that more.",lauritowal@yahoo.com,,ENAIS,0
Lausanne,Lausanne,"Few research, but many interested students, some which do independent research. There is also LAIA, a student group started in 2022.",go.epfl.ch/laia,,ENAIS,1
